Solution_ID,OC_original,OC_fixed,Cost_abs_fixed,Carbon_abs_fixed,Time_abs_fixed,Cost_norm_fixed,Carbon_norm_fixed,Time_norm_fixed,Dominates_S2_fixed
P75,1.0,1.0,18041.238992405495,5305.508351834192,90.15087584239112,0.9839527825304886,0.988580535605421,0.959866579821299,True
P76,1.0,1.0,18041.23405868012,5305.557560619779,90.15196916758308,0.9839525134495893,0.9885897047263396,0.9598782208209325,True
P77,1.0,1.0,18041.254984598792,5305.510630480726,90.14642090528638,0.9839536547301807,0.9885809601878478,0.9598191466133342,True
P78,1.0,1.0,18041.282560115014,5305.408241677486,90.14265190358748,0.9839551586737806,0.9885618819824744,0.9597790167894555,True
P79,1.0,1.0,18041.325755238606,5305.31201853403,90.13624951521366,0.9839575144965745,0.9885439526304901,0.9597108484153423,True
P80,1.0,1.0,18041.338059684575,5305.357022557032,90.13766953763536,0.9839581855698779,0.9885523382739032,0.9597259678698395,True
P81,1.0,1.0,18041.33722484795,5305.361538610851,90.13230742974255,0.9839581400386469,0.9885531797546073,0.9596688757105498,True
P82,1.0,1.0,18041.372464366676,5305.211591118067,90.12719393574734,0.9839600619699799,0.9885252398923172,0.9596144306267249,True
P83,1.0,1.0,18041.43121020774,5305.107279189838,90.11666530007359,0.9839632659147755,0.9885058033491925,0.959502328715125,True
P84,1.0,1.0,18041.43121020774,5305.107279189838,90.11666530007359,0.9839632659147755,0.9885058033491925,0.959502328715125,True
P85,1.0,1.0,18041.43121020774,5305.107279189838,90.11666530007359,0.9839632659147755,0.9885058033491925,0.959502328715125,True
P86,1.0,1.0,18041.45123271103,5305.0582421361205,90.11274309376431,0.9839643579239128,0.9884966662272404,0.9594605676704289,True
P87,1.0,1.0,18041.45123271103,5305.0582421361205,90.11274309376431,0.9839643579239128,0.9884966662272404,0.9594605676704289,True
P88,1.0,1.0,18041.496424117904,5304.9578577037355,90.1064741811584,0.9839668226221832,0.9884779614982394,0.9593938204575371,True
P89,1.0,1.0,18041.490838687234,5304.960892335041,90.10802627769098,0.9839665179978693,0.9884785269440444,0.9594103461493438,True
P90,1.0,1.0,18041.543209954147,5304.859021875372,90.09931811995926,0.9839693742791826,0.9884595453221331,0.9593176274763373,True
P91,1.0,1.0,18041.543209954147,5304.859021875372,90.09931811995926,0.9839693742791826,0.9884595453221331,0.9593176274763373,True
P92,1.0,1.0,18041.535804981675,5304.908370015002,90.09966718991316,0.9839689704187121,0.9884687404090262,0.959321344141091,True
P93,1.0,1.0,18041.55136217599,5304.858891600672,90.0968507382938,0.9839698188939549,0.9884595210479215,0.9592913564370577,True
P94,1.0,1.0,18041.55136217599,5304.858891600672,90.0968507382938,0.9839698188939549,0.9884595210479215,0.9592913564370577,True
P95,1.0,1.0,18041.56106282283,5304.858598887812,90.09573851560987,0.9839703479584196,0.9884594665064493,0.9592795142294956,True
P96,1.0,1.0,18041.586735147983,5304.808349384366,90.09234550584469,0.9839717481037078,0.9884501034675591,0.95924338771771,True
P97,1.0,1.0,18041.587902943244,5304.809283962563,90.09137288908988,0.9839718117942002,0.9884502776084244,0.9592330319412499,True
P98,1.0,1.0,18041.59471348137,5304.760486772624,90.09087037325585,0.9839721832347617,0.9884411851805236,0.9592276814867988,True
P99,1.0,1.0,18041.59471348137,5304.760486772624,90.09087037325585,0.9839721832347617,0.9884411851805236,0.9592276814867988,True
P100,1.0,1.0,18041.59516672687,5304.76066132439,90.09064795150857,0.9839722079543595,0.988441217704924,0.9592253132879339,True
P101,1.0,1.0,18041.628956047163,5304.709754941591,90.08510129632853,0.9839740507931876,0.9884317322690646,0.9591662561918451,True
P102,1.0,1.0,18041.680255006602,5304.609275483683,90.07953518231095,0.9839768485918255,0.9884130098338653,0.9591069919109934,True
P103,1.0,1.0,18041.702679547874,5304.560924349852,90.07514227368738,0.9839780716059318,0.9884040005200334,0.95906021914105,True
P104,1.0,1.0,18041.70165844889,5304.560842742782,90.07573124197594,0.9839780159161209,0.9884039853141087,0.95906649008375,True
P105,1.0,1.0,18041.715549124445,5304.559678643675,90.07377088569852,0.9839787735009448,0.9884037684063889,0.959045617513654,True
P106,1.0,1.0,18041.76232373214,5304.510649096615,90.07218759796481,0.9839813245455493,0.9883946326831596,0.9590287597186783,True
P107,1.0,1.0,18041.776868511744,5304.5117914534685,90.06789103258559,0.9839821178046139,0.9883948455396241,0.958983012747537,True
